frag_at , defrag_seq_at, defrag_at
1258331 , 1819077 , 1240981
1268300 , 1255620 , 1252950
1276119 , 1242116 , 1263627
1284577 , 1258683 , 1277083
1299260 , 1253714 , 1283297
1301324 , 1264962 , 1289227
1332166 , 1266516 , 1295620
1382960 , 1246560 , 1299602
1317152 , 1266841 , 1298031
1302427 , 1264381 , 1310706
1305177 , 1263983 , 1309218
1330922 , 1254520 , 1318247
1323866 , 1256056 , 1323233
1330425 , 1264395 , 1336220
1342127 , 1265395 , 1332897
1346679 , 1260493 , 1343766
1353033 , 1266564 , 1346185
1366158 , 1260885 , 1341541
1373210 , 1262835 , 1370243
1370262 , 1244983 , 1370843
1381027 , 1246537 , 1362266
1393364 , 1263760 , 1366481
1395224 , 1265820 , 1377750
1414179 , 1255289 , 1394681
1432493 , 1258095 , 1392408
1436468 , 1263799 , 1353412
1426618 , 1263806 , 1356614
1432827 , 1256360 , 1371606
1438822 , 1264862 , 1380137
1436599 , 1266379 , 1383704
1445495 , 1247758 , 1383854
1452068 , 1266633 , 1394383
1482689 , 1265441 , 1428452
1481947 , 1263695 , 1429054
1508281 , 1265681 , 1434416
1521493 , 1264799 , 1429008
1517824 , 1257633 , 1443760
1542700 , 1264523 , 1461072
1540806 , 1259154 , 1453012
1533054 , 1265135 , 1454499
1585327 , 1263985 , 1471068
1541345 , 1264024 , 1491672
1533981 , 1264160 , 1494970
1548070 , 1257556 , 1472248
1590631 , 1248597 , 1397025
1555606 , 1265566 , 1428670
1577108 , 1253343 , 1447285
1553231 , 1263662 , 1460774
1604001 , 1262108 , 1475247
1567410 , 1258635 , 1507389
1574116 , 1259264 , 1531908
1581168 , 1261837 , 1524029
1567349 , 1262137 , 1532808
1633672 , 1245402 , 1553989
1588910 , 1542806 , 1595054
1610589 , 1262822 , 1571662
1615562 , 1260008 , 1555133
1655562 , 1265850 , 1570718
1682937 , 1264008 , 1598385
1701022 , 1262879 , 1914212
1775145 , 1262252 , 1493658
1688793 , 1262727 , 1502323
1675283 , 1241899 , 1526435
1674920 , 1253174 , 1548814
1660083 , 1260689 , 1564304
1693270 , 1267222 , 1587645
1565106 , 1261768 , 1601662
1607712 , 1254210 , 1649558
1611591 , 1264495 , 1624747
1629250 , 1264016 , 1662570
1675866 , 1264702 , 1633410
1718533 , 1248387 , 1642281
1758620 , 1263547 , 1566106
1745808 , 1267295 , 1578193
1723250 , 1263493 , 1607302
1739054 , 1266906 , 1641535
1745229 , 1261279 , 1627758
1770473 , 1249118 , 1637902
1756472 , 1262527 , 1667783
1788106 , 1261533 , 1654349
1800568 , 1265999 , 1699037
1834443 , 1264798 , 1670931
1805841 , 1258243 , 1677081
1868695 , 1253222 , 1725449
1820745 , 1263099 , 1697264
1807283 , 1263995 , 1730272
1844066 , 1263147 , 1745768
1839735 , 1261473 , 1845643
1877566 , 1263324 , 1762141
1834414 , 1263158 , 1762391
1824320 , 1259060 , 1764112
1844052 , 1257508 , 1839483
1829266 , 1265975 , 1777135
1844077 , 1264033 , 1783170
1859902 , 1257433 , 1886831
1900864 , 1260570 , 1804529
1847906 , 1265122 , 1823329
1902625 , 1247331 , 1840643
1857528 , 1251841 , 1801014
1844520 , 1265583 , 1892370
